tanu,arrival_time_w1,w1_total_flow_first10s,h_step1,h_step2,h_step3,h_step4,h_step5,h_step6,h_step7,h_step8,h_step9,h_step10,v_step1,v_step2,v_step3,v_step4,v_step5,v_step6,v_step7,v_step8,v_step9,v_step10,f_step1,f_step2,f_step3,f_step4,f_step5,f_step6,f_step7,f_step8,f_step9,f_step10,arrival_time_w2,interval_w1_w2,w2_max_h,w2_max_v,w2_max_q,w2_total_flow
0.611100,8.098000,158.675000,0.634800,0.852200,0.984000,0.985400,0.993000,0.999200,1.004000,0.955400,0.911800,0.867400,5.167000,4.318000,3.572000,2.844000,2.257000,1.759000,1.224000,0.766700,0.409400,0.258000,26.240000,29.440000,28.120000,22.420000,17.930000,14.060000,9.828000,5.860000,2.986000,1.791000,,,0.000000,0.000000,0.000000,0.000000
0.633300,8.802000,110.263700,0.671300,0.844800,0.894000,0.886800,0.916300,0.920300,0.872400,0.876100,0.828400,0.815000,4.420000,3.668000,2.919000,2.202000,1.601000,0.999500,0.468700,0.176000,0.117500,0.132200,23.740000,24.790000,20.880000,15.620000,11.730000,7.359000,3.271000,1.233000,0.778600,0.862100,,,0.000000,0.000000,0.000000,0.000000
0.655600,8.381000,89.620600,0.511900,0.661100,0.759000,0.838900,0.811300,0.819400,0.798100,0.771900,0.739100,0.723900,4.506000,3.723000,3.042000,2.233000,1.480000,0.834600,0.313600,0.034970,0.045660,0.079020,18.450000,19.690000,18.470000,14.990000,9.604000,5.471000,2.002000,0.216000,0.270000,0.457600,,,0.000000,0.000000,0.000000,0.000000
0.677800,9.379000,54.264880,0.537100,0.654000,0.676100,0.734400,0.712400,0.709300,0.697300,0.685200,0.666100,0.656500,3.561000,2.861000,2.110000,1.353000,0.658200,0.065870,0.015840,0.025350,0.026970,0.026490,15.300000,14.970000,11.410000,7.950000,3.751000,0.373700,0.088380,0.139000,0.143700,0.139100,,,0.000000,0.000000,0.000000,0.000000
0.700000,8.819000,45.760440,0.408800,0.479600,0.566300,0.576800,0.581400,0.569000,0.570500,0.567700,0.559000,0.553800,3.733000,3.006000,2.275000,1.557000,0.787300,0.143400,0.014500,0.010690,0.008584,0.013250,12.210000,11.530000,10.310000,7.184000,3.662000,0.652600,0.066190,0.048560,0.038380,0.058710,,,0.000000,0.000000,0.000000,0.000000
0.500000,7.125000,418.820000,0.923900,1.409000,1.337000,1.421000,1.369000,1.343000,1.291000,1.222000,1.143000,1.155000,7.055000,5.933000,5.245000,4.720000,4.127000,3.648000,3.261000,2.954000,2.534000,2.158000,52.140000,66.870000,56.090000,53.670000,45.200000,39.180000,33.680000,28.890000,23.170000,19.930000,24.410000,17.285000,0.428600,5.091000,19.970000,250.841000
0.522200,7.765000,359.850000,1.131000,1.338000,1.314000,1.419000,1.321000,1.297000,1.269000,1.245000,1.129000,1.079000,6.206000,5.339000,4.674000,4.143000,3.628000,3.053000,2.712000,2.255000,1.790000,1.643000,56.150000,57.160000,49.140000,47.020000,38.350000,31.690000,27.520000,22.460000,16.170000,14.190000,26.100000,18.335000,0.378900,4.591000,16.050000,184.660000
0.544400,7.496000,321.080000,0.890400,1.196000,1.261000,1.372000,1.314000,1.217000,1.203000,1.218000,1.141000,1.073000,6.257000,5.230000,4.681000,4.030000,3.497000,2.874000,2.347000,2.089000,1.683000,1.395000,44.570000,50.040000,47.230000,44.220000,36.750000,27.980000,22.590000,20.350000,15.370000,11.980000,26.800000,19.304000,0.295900,3.857000,10.610000,115.460000
0.566700,8.157000,256.921000,0.975100,1.185000,1.208000,1.278000,1.214000,1.180000,1.117000,1.082000,1.040000,1.014000,5.448000,4.803000,4.073000,3.478000,2.915000,2.293000,1.796000,1.387000,1.054000,0.885900,42.500000,45.550000,39.350000,35.550000,28.310000,21.640000,16.050000,12.010000,8.773000,7.188000,28.580000,20.423000,0.248200,3.293000,7.078000,66.623000
0.588900,7.963000,218.187000,0.800000,1.006000,1.104000,1.132000,1.169000,1.146000,1.128000,1.099000,1.053000,1.009000,5.419000,4.587000,3.901000,3.337000,2.722000,2.131000,1.629000,1.133000,0.820800,0.664100,34.680000,36.920000,34.450000,30.210000,25.460000,19.530000,14.700000,9.963000,6.915000,5.359000,32.410000,24.447000,0.143000,2.440000,2.860000,21.113000
0.611100,7.655000,179.814000,0.591600,0.845800,0.998700,1.070000,1.096000,1.089000,1.058000,1.015000,0.970300,0.914500,5.405000,4.664000,3.858000,3.268000,2.465000,1.881000,1.359000,0.912500,0.562300,0.357100,25.580000,31.560000,30.830000,27.970000,21.610000,16.380000,11.500000,7.406000,4.365000,2.613000,,,0.000000,0.000000,0.000000,0.000000
0.633300,8.391000,124.923600,0.644100,0.851100,0.944600,1.024000,0.976900,0.971600,0.963900,0.940000,0.901400,0.863000,4.604000,3.953000,3.138000,2.437000,1.781000,1.136000,0.601600,0.188200,0.111600,0.142300,23.720000,26.920000,23.720000,19.970000,13.920000,8.832000,4.639000,1.415000,0.804900,0.982700,,,0.000000,0.000000,0.000000,0.000000
0.655600,8.429000,98.469700,0.566700,0.731100,0.844700,0.887500,0.893100,0.893900,0.855000,0.840700,0.813100,0.808900,4.419000,3.679000,2.938000,2.116000,1.515000,0.957500,0.408800,0.091300,0.079590,0.067220,20.040000,21.510000,19.860000,15.020000,10.830000,6.847000,2.796000,0.614000,0.517700,0.435000,,,0.000000,0.000000,0.000000,0.000000
0.677800,8.526000,72.005200,0.499700,0.632800,0.728900,0.787500,0.798100,0.810500,0.757000,0.742900,0.735700,0.726200,4.054000,3.340000,2.569000,1.967000,1.170000,0.493000,0.056080,0.030380,0.030720,0.024990,16.210000,16.910000,14.980000,12.390000,7.472000,3.197000,0.339600,0.180600,0.180800,0.145200,,,0.000000,0.000000,0.000000,0.000000
0.700000,9.076000,43.343840,0.460300,0.536500,0.581900,0.615300,0.604800,0.598200,0.595100,0.592000,0.587300,0.582700,3.518000,2.739000,1.967000,1.257000,0.583000,0.049080,0.010290,0.012980,0.013040,0.015280,12.950000,11.750000,9.157000,6.188000,2.821000,0.234900,0.048980,0.061490,0.061250,0.071220,,,0.000000,0.000000,0.000000,0.000000
