0.5000     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  7.128     ,  0.000     ,  1.221     ,  7.859     ,  52.87     ,  630.6     ,  25.34     ,  0.000     , 0.3605     ,  4.774     ,  15.54     ,  204.8     , 0.1111     , 
0.5222     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  7.631     ,  0.000     ,  1.210     ,  7.031     ,  45.32     ,  552.5     ,  26.86     ,  0.000     , 0.3156     ,  4.022     ,  12.40     ,  132.6     , 0.1111     , 
0.5444     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  8.131     ,  0.000     ,  1.137     ,  6.522     ,  41.25     ,  465.1     ,  28.61     ,  0.000     , 0.2469     ,  3.433     ,  8.122     ,  76.91     , 0.1111     , 
0.5667     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  7.900     ,  0.000     ,  1.094     ,  6.446     ,  35.53     ,  387.5     ,  31.45     ,  0.000     , 0.1799     ,  2.844     ,  4.377     ,  37.18     , 0.1111     , 
0.5889     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  7.880     ,  0.000     ,  1.029     ,  6.349     ,  30.68     ,  297.1     ,  36.37     ,  0.000     , 0.8031E-01 ,  2.015     ,  1.504     ,  5.940     , 0.1111     , 
0.6111     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  8.545     ,  0.000     , 0.9519     ,  5.493     ,  26.88     ,  213.7     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  14.85     , 
0.6333     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  8.222     ,  0.000     , 0.8595     ,  5.653     ,  22.01     ,  152.7     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  23.06     , 
0.6556     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  8.858     ,  0.000     , 0.7718     ,  4.853     ,  17.21     ,  98.02     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  26.02     , 
0.6778     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  8.576     ,  0.000     , 0.6232     ,  4.994     ,  13.61     ,  70.10     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  27.89     , 
0.7000     ,  1.000     ,  1.000     ,  0.000     ,  0.000     ,  9.328     ,  0.000     , 0.5010     ,  4.114     ,  10.57     ,  45.26     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  33.34     , 
0.5000     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  7.791     ,  0.000     ,  1.296     ,  7.288     ,  60.18     ,  647.6     ,  25.04     ,  0.000     , 0.3931     ,  4.845     ,  17.99     ,  225.2     , 0.1111     , 
0.5222     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  7.365     ,  0.000     ,  1.309     ,  7.405     ,  50.86     ,  586.2     ,  26.66     ,  0.000     , 0.3527     ,  4.322     ,  14.26     ,  159.1     , 0.1111     , 
0.5444     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  7.966     ,  0.000     ,  1.275     ,  6.644     ,  45.22     ,  491.7     ,  27.21     ,  0.000     , 0.2673     ,  3.759     ,  9.233     ,  102.8     , 0.1111     , 
0.5667     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  7.511     ,  0.000     ,  1.158     ,  6.878     ,  39.33     ,  400.0     ,  30.00     ,  0.000     , 0.1942     ,  3.037     ,  5.458     ,  46.61     , 0.1111     , 
0.5889     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  8.256     ,  0.000     ,  1.095     ,  5.961     ,  34.03     ,  317.9     ,  33.76     ,  0.000     , 0.1294     ,  2.510     ,  2.847     ,  17.95     , 0.1111     , 
0.6111     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  8.098     ,  0.000     ,  1.004     ,  5.949     ,  29.44     ,  244.5     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  12.45     , 
0.6333     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  8.802     ,  0.000     , 0.9203     ,  5.134     ,  24.79     ,  162.0     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  18.69     , 
0.6556     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  8.381     ,  0.000     , 0.8389     ,  5.450     ,  19.69     ,  114.1     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  25.72     , 
0.6778     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  9.379     ,  0.000     , 0.7344     ,  4.301     ,  15.30     ,  73.25     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  26.95     , 
0.7000     ,  1.056     ,  1.000     ,  0.000     ,  0.000     ,  8.819     ,  0.000     , 0.5814     ,  4.779     ,  12.21     ,  56.59     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  29.73     , 
0.5000     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  7.125     ,  0.000     ,  1.421     ,  8.150     ,  66.87     ,  715.0     ,  24.41     ,  0.000     , 0.4286     ,  5.091     ,  19.97     ,  254.9     , 0.1111     , 
0.5222     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  7.765     ,  0.000     ,  1.419     ,  7.124     ,  57.16     ,  623.2     ,  26.10     ,  0.000     , 0.3789     ,  4.591     ,  16.05     ,  188.9     , 0.1111     , 
0.5444     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  7.496     ,  0.000     ,  1.372     ,  7.160     ,  50.04     ,  539.0     ,  26.80     ,  0.000     , 0.2959     ,  3.857     ,  10.61     ,  118.0     , 0.1111     , 
0.5667     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  8.157     ,  0.000     ,  1.278     ,  6.263     ,  45.55     ,  429.9     ,  28.58     ,  0.000     , 0.2482     ,  3.293     ,  7.078     ,  68.39     , 0.1111     , 
0.5889     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  7.963     ,  0.000     ,  1.169     ,  6.240     ,  36.92     ,  353.1     ,  32.41     ,  0.000     , 0.1430     ,  2.440     ,  2.860     ,  21.57     , 0.1111     , 
0.6111     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  7.655     ,  0.000     ,  1.096     ,  6.199     ,  31.56     ,  265.1     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  10.47     , 
0.6333     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  8.391     ,  0.000     ,  1.024     ,  5.402     ,  26.92     ,  180.1     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  16.75     , 
0.6556     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  8.429     ,  0.000     , 0.8939     ,  5.111     ,  21.51     ,  129.9     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  24.82     , 
0.6778     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  8.526     ,  0.000     , 0.8105     ,  4.794     ,  16.91     ,  88.46     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  26.57     , 
0.7000     ,  1.111     ,  1.000     ,  0.000     ,  0.000     ,  9.076     ,  0.000     , 0.6153     ,  4.195     ,  12.95     ,  56.54     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  0.000     ,  29.21     , 
0.5000     ,  1.167     ,  1.000     ,  0.000     ,  0.000     ,  7.647     ,  0.000     ,  1.476     ,  7.498     ,  70.60     ,  729.2     ,  23.93     ,  0.000     , 0.4915     ,  5.191     ,  22.44     ,  277.2     , 0.1111     , 
0.5222     ,  1.167     ,  1.000     ,  0.000     ,  0.000     ,  7.360     ,  0.000     ,  1.470     ,  7.526     ,  64.97     ,  671.2     ,  24.71     ,  0.000     , 0.4605     ,  4.669     ,  20.07     ,  225.8     , 0.1111     , 
0.5444     ,  1.167     ,  1.000     ,  0.000     ,  0.000     ,  7.199     ,  0.000     ,  1.421     ,  7.742     ,  55.22     ,  576.1     ,  26.60     ,  0.000     , 0.4005     ,  4.168     ,  14.56     ,  163.4     , 0.1111     , 
0.5667     ,  1.167     ,  1.000     ,  0.000     ,  0.000     ,  7.971     ,  0.000     ,  1.296     ,  6.454     ,  46.30     ,  467.6     ,  28.28     ,  0.000     , 0.2980     ,  3.481     ,  8.929     ,  86.82     , 0.1111     , 
